,hotel_name,rating,room_description,price,location_descirption,long_description,price_week_before
469,alloggio la carica dei 101,7.0,"Large Double Room
1 large double bed
Free cancellation
Only 1 room left at this price on our site",€ 666,"Tiburtino, RomeShow on map4.6 km from centre","Located within 1 km of Tiburtina Metro Station and 800 metres of Roma Tiburtina Train Station in Rome, alloggio la carica dei 101 provides accommodation with seating area. There is a private entrance at the apartment for the convenience of those who stay. The apartment features family rooms.

The units are equipped with air conditioning, a flat-screen TV with streaming services, a microwave, a coffee machine, a bidet, a hair dryer and a wardrobe. There is also a dining area and a fully equipped kitchen equipped with a toaster, a fridge, and a stovetop.

Bologna Metro Station is 1.7 km from the apartment, while Sapienza University of Rome is 2.6 km away. The nearest airport is Rome Ciampino Airport, 23 km from alloggio la carica dei 101.",€ 666
473,Sweet Holiday,9.2,"One-Bedroom House
Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
2 beds (1 double, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site","€ 1,068","San Giovanni, RomeShow on map3 km from centreMetro access","Offering quiet street views, Sweet Holiday is an accommodation situated in Rome, 800 metres from Ponte Lungo Metro Station and 1.6 km from Porta Maggiore. Among the facilities at this property are a lift and a minimarket, along with free WiFi throughout the property. The property is non-smoking and is set less than 1 km from San Giovanni Metro Station.

This holiday home comes with 1 bedroom, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 1 bathroom equipped with a bidet. Towels and bed linen are featured in the holiday home.

There is a coffee shop on-site.

Both a bicycle rental service and a car rental service are available at the holiday home, while cycling and hiking can be enjoyed nearby.

Vittorio Emanuele Metro Station is 2.2 km from Sweet Holiday, while Coliseum is 2.8 km away. The nearest airport is Rome Ciampino Airport, 11 km from the accommodation.","€ 1,084"
474,Relais Incantesimo Vaticano,9.1,"Deluxe Double or Twin Room with Garden View
Beds: 1 double or 2 singles
Free cancellation
Only 1 room left at this price on our site","€ 1,362","Vaticano Prati, RomeShow on map2.6 km from centreMetro access","You're eligible for a Genius discount at Relais Incantesimo Vaticano! To save at this property, all you have to do is sign in.
Relais Incantesimo Vaticano offers air-conditioned rooms in Rome's elegant Prati neighbourhood, a 10-minute walk from the Vatican Museums and St. Peter's Basilica. This property is a 5-minute walk from Ottaviano Metro Station.

Rooms include a private bathroom, a kettle and mini fridge. Incantesimo Vaticano Relais features free WiFi throughout the property.



The nearest airport is Rome Ciampino Airport, 17 km from Relais Incantesimo Vaticano.","€ 1,362"
483,Luxury Fori Imperiali Flat,9.0,"One-Bedroom Apartment
1 extra-large double bed
Free cancellation
Only 1 left at this price on our site","€ 1,243","Rione Monti, RomeShow on map0.7 km from centreMetro access","Set in the centre of Rome, 300 metres from Cavour Metro Station and 500 metres from Colosseo Metro Station, Luxury Fori Imperiali Flat offers free WiFi and air conditioning. The property is situated 600 metres from Quirinal Hill, less than 1 km from Piazza Venezia and a 11-minute walk from Palazzo Venezia. The property is non-smoking and is located 800 metres from Domus Aurea.

The spacious apartment is fitted with 1 bedroom, a flat-screen TV and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine and a stovetop.

Popular points of interest near the apartment include Coliseum, Santa Maria Maggiore and Palatine Hill. The nearest airport is Rome Ciampino Airport, 14 km from Luxury Fori Imperiali Flat.","€ 1,243"
486,Vatican Domus Smart Rooms,9.3,"Standard Double Room
1 large double bed
Only 3 rooms left at this price on our site","€ 1,275","Vaticano Prati, RomeShow on map1.8 km from centre","You're eligible for a Genius discount at Vatican Domus Smart Rooms! To save at this property, all you have to do is sign in.
Offering inner courtyard views, Vatican Domus Smart Rooms is situated in the Vaticano Prati district of Rome, 700 metres from Lepanto Metro Station and 1.3 km from The Vatican. It is set 1.2 km from St Peter's Square and offers free WiFi plus a lift. The property is less than 1 km from Castel Sant'Angelo, and within 1.5 km of the city centre.

The guest house will provide guests with air-conditioned units with a desk, a safety deposit box, a flat-screen TV and a private bathroom with a bidet. Additional in-room amenities include chocolates or cookies. The units feature a wardrobe.

Popular points of interest near the guest house include Ottaviano Metro Station, Vatican Museums and Piazza Navona. The nearest airport is Rome Ciampino Airport, 17 km from Vatican Domus Smart Rooms.","€ 1,231"
489,Manin Suites LT,8.2,"Triple Room
Multiple bed types
Free cancellation
Only 2 rooms left at this price on our site","€ 1,039","Central Station, RomeShow on map1.4 km from centreMetro access","Manin Suites LT offers colourful rooms with modern décor in the Esquilino area of Rome, 200 metres from Termini Train and Metro Station. Open in 2012, it is set in a historic building and features free Wi-Fi.

Air-conditioned rooms at the Manin come with satellite flat-screen TV and a minibar. The private bathroom has free toiletries plus a hairdryer. Some rooms overlook the Santa Maria Maggiore Basilica.

Guests can unwind in the large shared terace, fitted with tables, sun loungers and a gazebo.

The area offers many cafès, trattoria restaurants, and pizzerias. Piazza Repubblica is one metro stop away, and the ancient Baths of Diocletian are 600 metres from the property.",€ 941
494,Gallery Guesthouse,7.7,"Double Room
1 large double bed
Free cancellation
Only 2 rooms left at this price on our site",€ 732,"Trionfale, RomeShow on map3.5 km from centreMetro access","Located in the centre of Rome, Gallery B&B offers modern accommodation with air conditioning. The property is a 5-minute walk from Cipro Metro stop which takes you to the Spanish Steps and Roma Termini Station.

Featuring free Wi-Fi, rooms come with a TV and DVD player. The private bathroom includes a shower and a hairdryer.

Vouchers for an additional breakfast in a nearby bar are available.

The property is 1 km from the Vatican Museums and St. Peter’s Square.",€ 732
496,B&B JONIO Roma,8.9,"Double Room
1 large double bed
Breakfast included
Free cancellation
Only 5 rooms left at this price on our site",€ 787,"Monte Sacro, RomeShow on map6.7 km from centreMetro access","Situated in the Nomentano district in Rome, 2.4 km from Villa Ada, B&B JONIO Roma boasts air-conditioned rooms with free WiFi throughout the property. Private parking is available on site.

Each room comes with a flat-screen TV. Certain units include views of the garden or city. The rooms have a private bathroom fitted with a bath or shower. For your comfort, you will find bathrobes and free toiletries.

Villa Torlonia is 3.7 km from B&B JONIO Roma, while Piazza Bologna is 3.9 km from the property. Caserma Salvo D'Acquisto is 5.4 km away. The nearest airport is Rome Ciampino Airport, 17 km from B&B JONIO Roma.",€ 782
497,Appartamento Elena & Chiara,9.1,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 60m²
3 beds (1 single, 2 large doubles)
Free cancellation
Only 1 left at this price on our site",€ 752,"Appio Latino, RomeShow on map6.3 km from centreMetro access","You're eligible for a Genius discount at Appartamento Elena & Chiara! To save at this property, all you have to do is sign in.
Set in Rome, 3.7 km from Ponte Lungo Metro Station, Appartamento Elena & Chiara offers recently renovated accommodation with free WiFi and a garden. The air-conditioned accommodation is 4.6 km from San Giovanni Metro Station. The property is non-smoking and is located 5 km from Porta Maggiore.

The apartment is fitted with 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a terrace with garden views. Guests can enjoy a meal on an outdoor dining area while overlooking the quiet street views. Additional in-room amenities include chocolates or cookies.

A minimarket is available at the apartment.

Anagnina Metro Station is 5.4 km from the apartment, while Vittorio Emanuele Metro Station is 5.8 km away. The nearest airport is Rome Ciampino Airport, 11 km from Appartamento Elena & Chiara.",€ 752
498,Trastevere Terrace Attic,,"Apartment
1 double bed
Free cancellation
Only 1 left at this price on our site","€ 1,270","Trastevere, RomeShow on map1.1 km from centre","Located in the centre of Rome, 1.1 km from Campo de' Fiori and 1.5 km from Roman Forum, Trastevere Terrace Attic offers free WiFi and air conditioning. This property is set a short distance from attractions such as Pantheon, Piazza di Santa Maria in Trastevere, and Piazza Navona. The property is non-smoking and is situated 1.1 km from Largo di Torre Argentina.

The spacious apartment comes with 1 bedroom and a fully fitted kitchen with a dishwasher and an oven.

Popular points of interest near the apartment include Palazzo Venezia, Synagogue of Rome and Piazza Venezia. The nearest airport is Rome Ciampino Airport, 16 km from Trastevere Terrace Attic.","€ 1,270"
502,Appart. delizioso nel centro di Roma Vaticano,9.6,"Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 60m²
2 beds (1 double, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site","€ 1,005","Vaticano Prati, RomeShow on map1.7 km from centre","In the heart of Rome, set within a short distance of Castel Sant'Angelo and Lepanto Metro Station, Appart. Delizioso nel centro di Roma Vaticano offers free WiFi, air conditioning and household amenities such as a stovetop and coffee machine. The property has city and quiet street views, and is 1.2 km from Piazza Navona. Spanish Steps is 1.6 km from the apartment and Flaminio Metro Station is 1 km away.

Boasting a Blu-ray player, the apartment has a fully equipped kitchen with a microwave, a toaster and a fridge, a living room with a seating area and a dining area, 1 bedroom, and 1 bathroom with a bidet and a shower. A flat-screen TV with satellite channels and DVD player, as well as a CD player are offered. This apartment is allergy-free and non-smoking.

Guests may wind down in the in-house bar, while a minimarket is also available.

Popular points of interest near the apartment include Piazza del Popolo, Ottaviano Metro Station and Pantheon. The nearest airport is Rome Ciampino Airport, 17 km from Appart. Delizioso nel centro di Roma Vaticano.","€ 1,005"
